patch,n,n_A,L,draws,S2_mean,S2_sem,S2_min,S2_max,page_complex,page_real,fraction_of_page
4x3,12,6,1,50,0.6958160693163277,0.0583951240775718,0.0178348920395839,1.943831808446944,5.000352177480301,4.989477013587993,0.1391534125236259
4x3,12,6,2,50,1.337753875803374,0.068834241760139,0.2454253369468007,2.307162325463385,5.000352177480301,4.989477013587993,0.2675319314163735
4x3,12,6,3,50,1.9014147922165692,0.0918861998631499,0.6549123821931653,3.4710467189236005,5.000352177480301,4.989477013587993,0.380256174911004
4x3,12,6,4,50,2.397970859972605,0.094708994460199,0.9912701903806402,3.831844202643799,5.000352177480301,4.989477013587993,0.4795603939202845
4x3,12,6,5,50,2.8523792743071987,0.089878347354491,1.5851235461047142,4.398281402506272,5.000352177480301,4.989477013587993,0.5704356759416344
4x3,12,6,6,50,3.299796181053815,0.0812343074401433,1.938533183188448,4.554462826229631,5.000352177480301,4.989477013587993,0.6599127549285131
4x3,12,6,7,50,3.6373291047352527,0.0742975508596302,2.377293529317603,4.635619395956585,5.000352177480301,4.989477013587993,0.7274145851399048
4x3,12,6,8,50,3.919671479717216,0.065459054739579,2.534293815515772,4.7514401042468775,5.000352177480301,4.989477013587993,0.7838790830313787
4x3,12,6,9,50,4.184484453693915,0.0613866748791321,2.9665279449670328,4.708062227766443,5.000352177480301,4.989477013587993,0.8368379476428187
4x3,12,6,10,50,4.3359316285042295,0.0522155912989582,3.205131610621485,4.807162100125366,5.000352177480301,4.989477013587993,0.8671252493037649
4x3,12,6,11,50,4.499850163511223,0.0417915918425447,3.538346643673539,4.854525261487459,5.000352177480301,4.989477013587993,0.8999066473311319
4x3,12,6,12,50,4.6542048991117655,0.0325074490939238,3.628173653267336,4.923973848220846,5.000352177480301,4.989477013587993,0.9307754201939112
4x3,12,6,13,50,4.733429190953874,0.0261942138346778,3.946631978315057,4.980065414074396,5.000352177480301,4.989477013587993,0.946619162600477
4x3,12,6,14,50,4.826435601471277,0.0185344012403722,4.226620238346593,5.007480711294164,5.000352177480301,4.989477013587993,0.9652191346057029
4x3,12,6,15,50,4.853669772398175,0.0176023331797648,4.426048429189377,4.98354041279075,5.000352177480301,4.989477013587993,0.9706655851676352
4x3,12,6,16,50,4.88458944116405,0.0148032628017873,4.362942652416093,4.981088644405888,5.000352177480301,4.989477013587993,0.976849083383046
4x4,16,8,1,50,0.9259412641538256,0.0831753079822694,0.0121167600116808,2.393985921423804,7.00002201361136,6.9972290112797735,0.1322769074659132
4x4,16,8,2,50,1.6454643489924985,0.0967847246395193,0.2491699828802552,3.3595366891690057,7.00002201361136,6.9972290112797735,0.235065596335688
4x4,16,8,3,50,2.398548600486422,0.0884971293753081,1.1664732328177705,4.02851411859511,7.00002201361136,6.9972290112797735,0.3426487225072302
4x4,16,8,4,50,3.148365237764824,0.0918323359111487,1.592085077917374,4.58271590293314,7.00002201361136,6.9972290112797735,0.4497650481159787
4x4,16,8,5,50,3.9142140427519863,0.0903162326911228,2.55007816479937,5.149967454854945,7.00002201361136,6.9972290112797735,0.5591716761948604
4x4,16,8,6,50,4.426565381443456,0.0925238859805097,3.185043188331283,5.449022593563552,7.00002201361136,6.9972290112797735,0.6323644944024626
4x4,16,8,7,50,4.93865868848873,0.0946587296109355,3.332832816108506,5.984005651506475,7.00002201361136,6.9972290112797735,0.7055204510622448
4x4,16,8,8,50,5.497558928924065,0.069504972959217,4.300102502035717,6.401283065358171,7.00002201361136,6.9972290112797735,0.7853630914637418
4x4,16,8,9,50,5.853812055268886,0.0696121186566507,4.137790303813225,6.471022004974769,7.00002201361136,6.9972290112797735,0.8362562351784467
4x4,16,8,10,50,6.164118226879088,0.0622489994406007,4.692615327631876,6.709448512547798,7.00002201361136,6.9972290112797735,0.8805855488587209
4x4,16,8,11,50,6.407574025765577,0.0463127158212152,5.566216859419739,6.845233113003125,7.00002201361136,6.9972290112797735,0.9153648393256788
4x4,16,8,12,50,6.599487782954805,0.0344966426626375,5.858932758965809,6.912590829222128,7.00002201361136,6.9972290112797735,0.9427810041343117
4x4,16,8,13,50,6.702908159919762,0.0297079218417931,5.844183262854566,6.939185539661117,7.00002201361136,6.9972290112797735,0.9575552972385132
4x4,16,8,14,50,6.791177422202002,0.0213027876843324,6.272723610306172,6.961611054099992,7.00002201361136,6.9972290112797735,0.9701651521947694
4x4,16,8,15,50,6.856596336456984,0.0141854671101623,6.507753249950062,6.982761401913113,7.00002201361136,6.9972290112797735,0.9795106819842152
4x4,16,8,16,50,6.907999148261848,0.0097812102799474,6.683272564619493,6.991222913400293,7.00002201361136,6.9972290112797735,0.986853917720462
4x5,20,10,1,50,1.082498703861796,0.0825206626878428,0.2376980824306204,2.552392409624753,9.00000137586055,8.999298482708543,0.1202776153751744
4x5,20,10,2,50,2.170502796602884,0.1001631472016719,0.5472376657232009,3.4464132653772213,9.00000137586055,8.999298482708543,0.2411669405323116
4x5,20,10,3,50,3.211997103578978,0.1003789300025897,1.3639246529164075,4.341111953144673,9.00000137586055,8.999298482708543,0.3568885125055725
4x5,20,10,4,50,4.169310714332003,0.1062086238632274,1.99179944326476,5.56972543612281,9.00000137586055,8.999298482708543,0.4632566752172687
4x5,20,10,5,50,5.018121518774757,0.1098053704226272,3.264558134988432,6.298789909041775,9.00000137586055,8.999298482708543,0.5575689724041782
4x5,20,10,6,50,5.846102053607337,0.1094764823144248,3.891826986390117,7.14773343783222,9.00000137586055,8.999298482708543,0.6495667955437787
