Qubit,T1 (us),T2 (us),Readout assignment error,Init error,Prob meas0 prep1,Prob meas1 prep0,Readout length (ns),ID error,Single-qubit gate length (ns),RX error,Z-axis rotation (rz) error,√x (sx) error,Pauli-X error,XSLOW error,CZ error,Gate length (ns),MEASURE error,MEASURE_2 error,Operational
0,180.37965014388598,57.21795360171738,0.0068359375,3.734875415384275e-05,0.011474609375,0.002197265625,1940,0.00038493783420362395,40,0.00038493783420362395,0,0.00038493783420362395,0.00038493783420362395,0.00038493783420362395,1:0.0017676205521371113;10:0.002049937858359524,1:68;10:68,0.0068359375,0.006103515625,Yes
1,167.96380041365416,140.05106929572574,0.007568359375,1e-05,0.0087890625,0.00634765625,1940,0.00020728400544224948,40,0.00020728400544224948,0,0.00020728400544224948,0.00020728400544224948,0.00020728400544224948,2:0.0015325006004753006;11:0.003574140787266644;0:0.0017676205521371113,2:68;11:68;0:68,0.007568359375,0.0029296875,Yes
2,42.17152985803851,23.90088239192399,0.0247802734375,0.0001443497332407429,0.043701171875,0.005859375,1940,0.000709266270395613,40,0.000709266270395613,0,0.000709266270395613,0.000709266270395613,0.000709266270395613,1:0.0015325006004753006;3:0.0026632843000825024;12:0.001811700645187625,1:68;3:68;12:68,0.0247802734375,0.02685546875,Yes
3,137.7629409328459,90.82207136303987,0.006591796875,1.567258087215673e-05,0.012451171875,0.000732421875,1940,0.00021207411926769072,40,0.00021207411926769072,0,0.00021207411926769072,0.00021207411926769072,0.00021207411926769072,13:0.0022725391402342865;2:0.0026632843000825024;4:0.0015938038491140338,13:108;2:68;4:68,0.006591796875,0.005859375,Yes
4,229.7712224522415,84.42792376763268,0.0108642578125,2.192195972514347e-05,0.0185546875,0.003173828125,1940,0.0002052804586341912,40,0.0002052804586341912,0,0.0002052804586341912,0.0002052804586341912,0.0002052804586341912,3:0.0015938038491140338;5:0.0017089901925848583;14:0.0018103397261287624,3:68;5:68;14:68,0.0108642578125,0.008056640625,Yes
5,162.96252089122748,118.20408850926633,0.0064697265625,4.0560340892519357e-05,0.01025390625,0.00048828125,1940,0.00021251433987554857,40,0.00021251433987554857,0,0.00021251433987554857,0.00021251433987554857,0.00021251433987554857,6:0.0022276404286951934;4:0.0017089901925848583;15:0.002580244911249613,6:68;4:68;15:84,0.0064697265625,0.00634765625,Yes
6,187.6331193138896,90.21138764870396,0.009033203125,0.00022472362197136712,0.017333984375,0.000732421875,1940,0.00018985611357253725,40,0.00018985611357253725,0,0.00018985611357253725,0.00018985611357253725,0.00018985611357253725,5:0.0022276404286951934;7:0.010165351545927181;16:0.002345910546740382,5:68;7:68;16:68,0.009033203125,0.005615234375,Yes
7,16.43500833619714,21.5607430562573,0.021240234375,5.0052079821473387e-05,0.038818359375,0.003662109375,1940,0.001162124956556362,40,0.001162124956556362,0,0.001162124956556362,0.001162124956556362,0.001162124956556362,17:1;6:0.010165351545927181;8:0.014238928638970971,17:84;6:68;8:84,0.021240234375,0.01318359375,Yes
8,250.7537615535018,187.98792893949698,0.0081787109375,0.001818431773115066,0.013916015625,0.00244140625,1940,0.00011258497234309006,40,0.00011258497234309006,0,0.00011258497234309006,0.00011258497234309006,0.00011258497234309006,9:0.0013307182824768837;18:0.004091134681753955;7:0.014238928638970971,9:68;18:84;7:84,0.0081787109375,0.004150390625,Yes
9,131.15202841227347,152.155332717116,0.00390625,2.0091023803046734e-05,0.00634765625,0.00146484375,1940,0.00016761275583383002,40,0.00016761275583383002,0,0.00016761275583383002,0.00016761275583383002,0.00016761275583383002,8:0.0013307182824768837;19:0.001391258849498922,8:68;19:68,0.00390625,0.00244140625,Yes
10,116.32904490758256,120.90125580213098,0.0096435546875,1e-05,0.013916015625,0.00537109375,1940,0.0002828850907478435,40,0.0002828850907478435,0,0.0002828850907478435,0.0002828850907478435,0.0002828850907478435,20:0.003954957229181044;11:0.00301839123744721;0:0.002049937858359524,20:68;11:68;0:68,0.0096435546875,0.006591796875,Yes
11,41.722199467518244,23.35109109372888,0.017578125,8.53506479605399e-05,0.03076171875,0.00439453125,1940,0.0005513131933733081,40,0.0005513131933733081,0,0.0005513131933733081,0.0005513131933733081,0.0005513131933733081,1:0.003574140787266644;10:0.00301839123744721;12:0.0034371288104064757;21:0.0021887689517899045,1:68;10:68;12:68;21:68,0.017578125,0.0126953125,Yes
12,84.33209521891867,63.96194005789838,0.0064697265625,1e-05,0.012939453125,0.0,1940,0.00040577246952055334,40,0.00040577246952055334,0,0.00040577246952055334,0.00040577246952055334,0.00040577246952055334,13:0.001741848599205953;22:0.0015497469354203708;2:0.001811700645187625;11:0.0034371288104064757,13:68;22:68;2:68;11:68,0.0064697265625,0.00537109375,Yes
13,182.1588369851789,87.8835178778728,0.016845703125,3.297707347555678e-05,0.026611328125,0.007080078125,1940,0.0002350113439480559,40,0.0002350113439480559,0,0.0002350113439480559,0.0002350113439480559,0.0002350113439480559,3:0.0022725391402342865;12:0.001741848599205953;14:0.0019260719526524306;23:0.0017466970914903623,3:108;12:68;14:68;23:68,0.016845703125,0.011474609375,Yes
14,147.9394783180078,78.3540079474918,0.007080078125,4.229404180831997e-05,0.013671875,0.00048828125,1940,0.00023788427012217753,40,0.00023788427012217753,0,0.00023788427012217753,0.00023788427012217753,0.00023788427012217753,15:0.002287281845621436;24:0.007398326459325061;13:0.0019260719526524306;4:0.0018103397261287624,15:68;24:68;13:68;4:68,0.007080078125,0.005859375,Yes
15,138.27706619653998,82.14528513474536,0.0159912109375,2.3014205568282303e-05,0.02734375,0.004638671875,1940,0.0005714913316518174,40,0.0005714913316518174,0,0.0005714913316518174,0.0005714913316518174,0.0005714913316518174,14:0.002287281845621436;16:0.007618273780539836;25:0.001652980103090368;5:0.002580244911249613,14:68;16:68;25:68;5:84,0.0159912109375,0.01318359375,Yes
16,155.52263923164884,137.5883708268865,0.0062255859375,4.997376385538112e-05,0.008056640625,0.00439453125,1940,0.00018370689150816244,40,0.00018370689150816244,0,0.00018370689150816244,0.00018370689150816244,0.00018370689150816244,15:0.007618273780539836;17:1;26:0.010046293237424841;6:0.002345910546740382,15:68;17:84;26:68;6:68,0.0062255859375,0.0029296875,Yes
17,,,0.5137939453125,,0.54638671875,0.481201171875,1940,1.0,40,1.0,0,1.0,1.0,1.0,7:1;16:1;18:1;27:1,7:84;16:84;18:84;27:84,0.5137939453125,0.482421875,Yes
18,80.71273846706171,73.82904962790383,0.009521484375,0.00010031148197094289,0.01806640625,0.0009765625,1940,0.0005846955092492246,40,0.0005846955092492246,0,0.0005846955092492246,0.0005846955092492246,0.0005846955092492246,8:0.004091134681753955;19:0.0030412339053642323;28:0.0027325529715322427;17:1,8:84;19:68;28:68;17:84,0.009521484375,0.005126953125,Yes
19,209.26334963133692,120.73015096170623,0.0113525390625,1.3531123310955115e-05,0.020751953125,0.001953125,1940,0.00018759022106722395,40,0.00018759022106722395,0,0.00018759022106722395,0.00018759022106722395,0.00018759022106722395,18:0.0030412339053642323;9:0.001391258849498922;29:0.0015323432402034876,18:68;9:68;29:68,0.0113525390625,0.0087890625,Yes
20,205.37376875834318,112.49611812210534,0.0078125,0.00011537645340034269,0.01025390625,0.00537109375,1940,0.00014055830453967561,40,0.00014055830453967561,0,0.00014055830453967561,0.00014055830453967561,0.00014055830453967561,10:0.003954957229181044;21:0.002683844416853265;30:0.0018411729467640303,10:68;21:68;30:68,0.0078125,0.008056640625,Yes
21,164.84849368539372,168.86360374474626,0.002685546875,2.018893324129529e-05,0.003173828125,0.002197265625,1940,0.0002457520482685176,40,0.0002457520482685176,0,0.0002457520482685176,0.0002457520482685176,0.0002457520482685176,20:0.002683844416853265;22:0.0008066066907291558;31:0.001287185133676344;11:0.0021887689517899045,20:68;22:68;31:68;11:68,0.002685546875,0.002685546875,Yes
22,263.04788605421317,121.3568088322157,0.0079345703125,2.2126642754724185e-05,0.01953125,0.004638671875,1940,0.000361814223774218,40,0.000361814223774218,0,0.000361814223774218,0.000361814223774218,0.000361814223774218,23:0.0034986647241974367;12:0.0015497469354203708;32:0.0011199085126986918;21:0.0008066066907291558,23:68;12:68;32:68;21:68,0.0079345703125,0.006103515625,Yes
23,71.3078564284999,83.14678053601935,0.0098876953125,1.0304308668260432e-05,0.0126953125,0.007080078125,1940,0.00029829243463910023,40,0.00029829243463910023,0,0.00029829243463910023,0.00029829243463910023,0.00029829243463910023,22:0.0034986647241974367;13:0.0017466970914903623;24:0.004318935700412363;33:0.0016734876008991928,22:68;13:68;24:68;33:68,0.0098876953125,0.008056640625,Yes
24,93.30518399918755,91.446200317274,0.0806884765625,,0.126220703125,0.03515625,1940,0.003136842158411724,40,0.003136842158411724,0,0.003136842158411724,0.003136842158411724,0.003136842158411724,14:0.007398326459325061;23:0.004318935700412363;25:0.007264143131962525;34:0.004764533009462002,14:68;23:68;25:68;34:68,0.0806884765625,0.10205078125,Yes
25,157.9893626739223,121.3109805651588,0.0045166015625,7.043961685632456e-05,0.0087890625,0.000244140625,1940,0.00019966111242740637,40,0.00019966111242740637,0,0.00019966111242740637,0.00019966111242740637,0.00019966111242740637,15:0.001652980103090368;24:0.007264143131962525;26:0.0010589868143879577;35:0.0011882429528941585,15:68;24:68;26:68;35:68,0.0045166015625,0.00439453125,Yes
26,149.89705036896746,116.42192056212104,0.0093994140625,5.418773124347768e-05,0.012939453125,0.005859375,1940,0.00016671873397633715,40,0.00016671873397633715,0,0.00016671873397633715,0.00016671873397633715,0.00016671873397633715,16:0.010046293237424841;25:0.0010589868143879577;27:0.007958778646925513;36:0.001894682342675813,16:68;25:68;27:68;36:68,0.0093994140625,0.007080078125,Yes
27,101.88930668581357,108.5084160714418,0.014892578125,2.0614834512666858e-05,0.027099609375,0.002685546875,1940,0.0007565337984697676,40,0.0007565337984697676,0,0.0007565337984697676,0.0007565337984697676,0.0007565337984697676,26:0.007958778646925513;28:0.008624920925745405;17:1;37:0.00721448419674911,26:68;28:68;17:84;37:68,0.014892578125,0.008544921875,Yes
28,125.98789396171787,123.25458733708852,0.0125732421875,3.09381348448887e-05,0.023193359375,0.001953125,1940,0.0001827743179343867,40,0.0001827743179343867,0,0.0001827743179343867,0.0001827743179343867,0.0001827743179343867,18:0.0027325529715322427;27:0.008624920925745405;29:0.0014559280487645432;38:0.001374237268760431,18:68;27:68;29:68;38:68,0.0125732421875,0.01416015625,Yes
29,60.966828246808035,90.9294441811237,0.0089111328125,1.0066821636787629e-05,0.016845703125,0.0009765625,1940,0.0010465102361732679,40,0.0010465102361732679,0,0.0010465102361732679,0.0010465102361732679,0.0010465102361732679,19:0.0015323432402034876;28:0.0014559280487645432;39:0.001548142378885231,19:68;28:68;39:68,0.0089111328125,0.005126953125,Yes
