Qubit,T1 (us),T2 (us),Readout assignment error,Init error,Prob meas0 prep1,Prob meas1 prep0,Readout length (ns),ID error,Single-qubit gate length (ns),RX error,Z-axis rotation (rz) error,√x (sx) error,Pauli-X error,XSLOW error,CZ error,Gate length (ns),MEASURE error,MEASURE_2 error,Operational
0,202.30127388370585,131.9059532716891,0.0048828125,2.4195568022100857e-05,0.00634765625,0.00341796875,1940,0.00015132724155800465,40,0.00015132724155800465,0,0.00015132724155800465,0.00015132724155800465,0.00015132724155800465,1:0.005318571522696686;10:0.003408644997539706,1:68;10:68,0.0048828125,0.00390625,Yes
1,164.90834323637304,182.75962176773047,0.007080078125,1e-05,0.0107421875,0.00341796875,1940,0.0002609495911687856,40,0.0002609495911687856,0,0.0002609495911687856,0.0002609495911687856,0.0002609495911687856,2:0.0019142533169150266;11:0.003189473024357542;0:0.005318571522696686,2:68;11:68;0:68,0.007080078125,0.000732421875,Yes
2,138.77394971017222,102.31056049365367,0.005859375,4.174780315760702e-05,0.00830078125,0.00341796875,1940,0.00017629516741908294,40,0.00017629516741908294,0,0.00017629516741908294,0.00017629516741908294,0.00017629516741908294,1:0.0019142533169150266;3:0.0020072736850407225;12:0.0016398439193048842,1:68;3:68;12:68,0.005859375,0.009033203125,Yes
3,143.43741761143963,122.12497194801105,0.003173828125,2.535437675536891e-05,0.00537109375,0.0009765625,1940,0.00016807220622769878,40,0.00016807220622769878,0,0.00016807220622769878,0.00016807220622769878,0.00016807220622769878,13:0.0025600149923259985;2:0.0020072736850407225;4:0.001163799165202789,13:108;2:68;4:68,0.003173828125,0.003662109375,Yes
4,246.64750461171897,121.62734578048949,0.005615234375,2.0790188670626105e-05,0.0087890625,0.00244140625,1940,0.0001965374181477292,40,0.0001965374181477292,0,0.0001965374181477292,0.0001965374181477292,0.0001965374181477292,3:0.001163799165202789;5:0.001038906691087832;14:0.0013553222503073226,3:68;5:68;14:68,0.005615234375,0.00537109375,Yes
5,171.2462788550802,164.82040099731702,0.0029296875,2.025587916443651e-05,0.00439453125,0.00146484375,1940,0.00017164097451461202,40,0.00017164097451461202,0,0.00017164097451461202,0.00017164097451461202,0.00017164097451461202,6:0.001445730470080231;4:0.001038906691087832;15:0.0015629677186980162,6:68;4:68;15:84,0.0029296875,0.00244140625,Yes
6,196.2053466469099,130.6498084538437,0.006103515625,3.397480193320971e-05,0.0078125,0.00439453125,1940,0.0001643220225914674,40,0.0001643220225914674,0,0.0001643220225914674,0.0001643220225914674,0.0001643220225914674,5:0.001445730470080231;7:0.007900526425189902;16:0.001855656465017591,5:68;7:68;16:68,0.006103515625,0.00341796875,Yes
7,16.428692966982986,23.41289848960577,0.0146484375,1.7511813340193724e-05,0.0244140625,0.0048828125,1940,0.0018816093170722584,40,0.0018816093170722584,0,0.0018816093170722584,0.0018816093170722584,0.0018816093170722584,17:1;6:0.007900526425189902;8:0.013533777126142482,17:84;6:68;8:84,0.0146484375,0.010009765625,Yes
8,249.05116093128828,197.42085768095447,0.00927734375,0.001818431773115066,0.01611328125,0.00244140625,1940,0.00023772851892440205,40,0.00023772851892440205,0,0.00023772851892440205,0.00023772851892440205,0.00023772851892440205,9:0.0013060016061116064;18:0.0031515598223649244;7:0.013533777126142482,9:68;18:84;7:84,0.00927734375,0.006103515625,Yes
9,162.58695732012086,199.13464181763771,0.003173828125,1e-05,0.00439453125,0.001953125,1940,0.000196801165065733,40,0.000196801165065733,0,0.000196801165065733,0.000196801165065733,0.000196801165065733,8:0.0013060016061116064;19:0.001214488625045751,8:68;19:68,0.003173828125,0.002685546875,Yes
