Qubit,T1 (us),T2 (us),Readout assignment error,Init error,Prob meas0 prep1,Prob meas1 prep0,Readout length (ns),ID error,Single-qubit gate length (ns),RX error,Z-axis rotation (rz) error,√x (sx) error,Pauli-X error,XSLOW error,CZ error,Gate length (ns),MEASURE error,MEASURE_2 error,Operational
0,188.58628440176534,71.93334761748233,0.0059814453125,1e-05,0.008056640625,0.00390625,1940,0.0002502574183983175,40,0.0002502574183983175,0,0.0002502574183983175,0.0002502574183983175,0.0002502574183983175,1:0.0017676205521371113;10:0.002049937858359524,1:68;10:68,0.0059814453125,0.00634765625,Yes
1,169.08150639950074,121.2389358458684,0.0078125,1e-05,0.011474609375,0.004150390625,1940,0.0002160718366237039,40,0.0002160718366237039,0,0.0002160718366237039,0.0002160718366237039,0.0002160718366237039,2:0.0015325006004753006;11:0.003574140787266644;0:0.0017676205521371113,2:68;11:68;0:68,0.0078125,0.00439453125,Yes
2,193.8584460393681,99.35811816040083,0.0281982421875,0.00016428365225837365,0.05078125,0.005615234375,1940,0.0002482398248910903,40,0.0002482398248910903,0,0.0002482398248910903,0.0002482398248910903,0.0002482398248910903,1:0.0015325006004753006;3:0.0026632843000825024;12:0.001811700645187625,1:68;3:68;12:68,0.0281982421875,0.024169921875,Yes
3,160.12074459938776,102.98157805887557,0.006103515625,2.468074398154599e-05,0.010986328125,0.001220703125,1940,0.0004127356828251093,40,0.0004127356828251093,0,0.0004127356828251093,0.0004127356828251093,0.0004127356828251093,13:0.0022725391402342865;2:0.0026632843000825024;4:0.0015938038491140338,13:108;2:68;4:68,0.006103515625,0.006103515625,Yes
4,233.51595937634963,100.42608436555486,0.0120849609375,0.0002163980166477367,0.021240234375,0.0029296875,1940,0.0002660299084220576,40,0.0002660299084220576,0,0.0002660299084220576,0.0002660299084220576,0.0002660299084220576,3:0.0015938038491140338;5:0.0017089901925848583;14:0.0018103397261287624,3:68;5:68;14:68,0.0120849609375,0.011474609375,Yes
5,116.76109882559608,110.94618882785026,0.0048828125,1.3522894360510256e-05,0.01025390625,0.000732421875,1940,0.00021175893485377636,40,0.00021175893485377636,0,0.00021175893485377636,0.00021175893485377636,0.00021175893485377636,6:0.0022276404286951934;4:0.0017089901925848583;15:0.002580244911249613,6:68;4:68;15:84,0.0048828125,0.005615234375,Yes
6,188.16897179273838,91.13454639608935,0.0078125,2.008954565174286e-05,0.01220703125,0.00341796875,1940,0.0002441758082872429,40,0.0002441758082872429,0,0.0002441758082872429,0.0002441758082872429,0.0002441758082872429,5:0.0022276404286951934;7:0.010165351545927181;16:0.002345910546740382,5:68;7:68;16:68,0.0078125,0.007080078125,Yes
7,16.506436375995698,20.15719126731187,0.0230712890625,1.151106748308159e-05,0.035400390625,0.0107421875,1940,0.0011359947148186882,40,0.0011359947148186882,0,0.0011359947148186882,0.0011359947148186882,0.0011359947148186882,17:1;6:0.010165351545927181;8:0.014238928638970971,17:84;6:68;8:84,0.0230712890625,0.011474609375,Yes
8,263.4689428292961,202.07681189322506,0.0101318359375,0.001818431773115066,0.011962890625,0.00830078125,1940,0.00022420588862175924,40,0.00022420588862175924,0,0.00022420588862175924,0.00022420588862175924,0.00022420588862175924,9:0.0013307182824768837;18:0.004091134681753955;7:0.014238928638970971,9:68;18:84;7:84,0.0101318359375,0.00439453125,Yes
9,149.9064162613925,202.88666220310975,0.01953125,0.00019668523393945154,0.03662109375,0.00244140625,1940,0.0008894378855181227,40,0.0008894378855181227,0,0.0008894378855181227,0.0008894378855181227,0.0008894378855181227,8:0.0013307182824768837;19:0.001391258849498922,8:68;19:68,0.01953125,0.0029296875,Yes
