Qubit,T1 (us),T2 (us),Readout assignment error,Init error,Prob meas0 prep1,Prob meas1 prep0,Readout length (ns),ID error,Single-qubit gate length (ns),RX error,Z-axis rotation (rz) error,√x (sx) error,Pauli-X error,XSLOW error,CZ error,Gate length (ns),MEASURE error,MEASURE_2 error,Operational
0,195.58646815701124,123.24478223886499,0.004638671875,1.1248767380908427e-05,0.0068359375,0.00244140625,1940,0.00031694650348693007,40,0.00031694650348693007,0,0.00031694650348693007,0.00031694650348693007,0.00031694650348693007,1:0.005318571522696686;10:0.003408644997539706,1:68;10:68,0.004638671875,0.0078125,Yes
1,178.12994639451466,186.67248936937506,0.005859375,1e-05,0.009033203125,0.002685546875,1940,0.00019261329389786628,40,0.00019261329389786628,0,0.00019261329389786628,0.00019261329389786628,0.00019261329389786628,2:0.0019142533169150266;11:0.003189473024357542;0:0.005318571522696686,2:68;11:68;0:68,0.005859375,0.00244140625,Yes
2,145.39406330525324,106.88273584005628,0.007568359375,2.8930726897688545e-05,0.013427734375,0.001708984375,1940,0.0002262580244354813,40,0.0002262580244354813,0,0.0002262580244354813,0.0002262580244354813,0.0002262580244354813,1:0.0019142533169150266;3:0.0020072736850407225;12:0.0016398439193048842,1:68;3:68;12:68,0.007568359375,0.003662109375,Yes
3,124.95300265275932,139.90984233216847,0.003173828125,1e-05,0.005126953125,0.001220703125,1940,0.0001578777283239216,40,0.0001578777283239216,0,0.0001578777283239216,0.0001578777283239216,0.0001578777283239216,13:0.0025600149923259985;2:0.0020072736850407225;4:0.001163799165202789,13:108;2:68;4:68,0.003173828125,0.002685546875,Yes
4,150.22992945098292,94.60920314748573,0.008056640625,4.282439628474484e-05,0.0087890625,0.00732421875,1940,0.0010609250377949396,40,0.0010609250377949396,0,0.0010609250377949396,0.0010609250377949396,0.0010609250377949396,3:0.001163799165202789;5:0.001038906691087832;14:0.0013553222503073226,3:68;5:68;14:68,0.008056640625,0.01171875,Yes
5,178.53672601946178,169.43635543127684,0.0037841796875,1e-05,0.0048828125,0.000732421875,1940,0.0001325026741686166,40,0.0001325026741686166,0,0.0001325026741686166,0.0001325026741686166,0.0001325026741686166,6:0.001445730470080231;4:0.001038906691087832;15:0.0015629677186980162,6:68;4:68;15:84,0.0037841796875,0.002197265625,Yes
6,196.20147291499688,128.9339440166707,0.0047607421875,1.0536110024015486e-05,0.008544921875,0.0009765625,1940,0.0002695428812876608,40,0.0002695428812876608,0,0.0002695428812876608,0.0002695428812876608,0.0002695428812876608,5:0.001445730470080231;7:0.007900526425189902;16:0.001855656465017591,5:68;7:68;16:68,0.0047607421875,0.007568359375,Yes
7,16.59296807218504,25.222465295856093,0.019775390625,0.00013317511374928153,0.035400390625,0.004150390625,1940,0.0013111741165614868,40,0.0013111741165614868,0,0.0013111741165614868,0.0013111741165614868,0.0013111741165614868,17:1;6:0.007900526425189902;8:0.013533777126142482,17:84;6:68;8:84,0.019775390625,0.008544921875,Yes
8,216.88921940482822,200.40076571572692,0.0064697265625,0.001818431773115066,0.00830078125,0.004638671875,1940,0.0001240945326597718,40,0.0001240945326597718,0,0.0001240945326597718,0.0001240945326597718,0.0001240945326597718,9:0.0013060016061116064;18:0.0031515598223649244;7:0.013533777126142482,9:68;18:84;7:84,0.0064697265625,0.00390625,Yes
9,173.12697472448815,224.14934084546684,0.0030517578125,1e-05,0.005615234375,0.00048828125,1940,0.00031475097832060035,40,0.00031475097832060035,0,0.00031475097832060035,0.00031475097832060035,0.00031475097832060035,8:0.0013060016061116064;19:0.001214488625045751,8:68;19:68,0.0030517578125,0.00390625,Yes
