Qubit,T1 (us),T2 (us),Readout assignment error,Init error,Prob meas0 prep1,Prob meas1 prep0,Readout length (ns),ID error,Single-qubit gate length (ns),RX error,Z-axis rotation (rz) error,√x (sx) error,Pauli-X error,XSLOW error,CZ error,Gate length (ns),MEASURE error,MEASURE_2 error,Operational
0,188.58628440176534,71.93334761748233,0.005615234375,2.1337678009258325e-05,0.0087890625,0.00244140625,1940,0.0002502574183983175,40,0.0002502574183983175,0,0.0002502574183983175,0.0002502574183983175,0.0002502574183983175,1:0.002204550654823806;10:0.0026267509418644586,1:68;10:68,0.005615234375,0.00634765625,Yes
1,169.08150639950074,121.2389358458684,0.0074462890625,1e-05,0.010498046875,0.00439453125,1940,0.0002160718366237039,40,0.0002160718366237039,0,0.0002160718366237039,0.0002160718366237039,0.0002160718366237039,2:0.0021312806487957248;11:0.003174214036030659;0:0.002204550654823806,2:68;11:68;0:68,0.0074462890625,0.00439453125,Yes
2,193.8584460393681,99.35811816040083,0.0286865234375,0.000192823262451187,0.054931640625,0.00244140625,1940,0.0002482398248910903,40,0.0002482398248910903,0,0.0002482398248910903,0.0002482398248910903,0.0002482398248910903,1:0.0021312806487957248;3:0.0030100583658993485;12:0.0025187413440294903,1:68;3:68;12:68,0.0286865234375,0.024169921875,Yes
3,160.12074459938776,102.98157805887557,0.0059814453125,3.6330004209107515e-05,0.011474609375,0.00048828125,1940,0.0004127356828251093,40,0.0004127356828251093,0,0.0004127356828251093,0.0004127356828251093,0.0004127356828251093,13:0.002612813063110314;2:0.0030100583658993485;4:0.0016230660837450173,13:108;2:68;4:68,0.0059814453125,0.006103515625,Yes
4,233.51595937634963,100.42608436555486,0.010009765625,1e-05,0.017578125,0.00244140625,1940,0.0002660299084220576,40,0.0002660299084220576,0,0.0002660299084220576,0.0002660299084220576,0.0002660299084220576,3:0.0016230660837450173;5:0.0019108002511522004;14:0.0019002398775960772,3:68;5:68;14:68,0.010009765625,0.011474609375,Yes
5,116.76109882559608,110.94618882785026,0.0054931640625,3.4098427888647885e-05,0.01025390625,0.002197265625,1940,0.00021175893485377636,40,0.00021175893485377636,0,0.00021175893485377636,0.00021175893485377636,0.00021175893485377636,6:0.0014373896022572275;4:0.0019108002511522004;15:0.0016584536123685212,6:68;4:68;15:84,0.0054931640625,0.005615234375,Yes
6,188.16897179273838,91.13454639608935,0.0068359375,4.2991279716111075e-05,0.011962890625,0.001708984375,1940,0.0002441758082872429,40,0.0002441758082872429,0,0.0002441758082872429,0.0002441758082872429,0.0002441758082872429,5:0.0014373896022572275;7:0.009295596438185283;16:0.0017436156306153139,5:68;7:68;16:68,0.0068359375,0.007080078125,Yes
7,16.506436375995698,20.15719126731187,0.026123046875,6.47359042130279e-05,0.045166015625,0.007080078125,1940,0.0011359947148186882,40,0.0011359947148186882,0,0.0011359947148186882,0.0011359947148186882,0.0011359947148186882,17:1;6:0.009295596438185283;8:0.013931684100380898,17:84;6:68;8:84,0.026123046875,0.011474609375,Yes
8,263.4689428292961,202.07681189322506,0.0103759765625,0.001818431773115066,0.01611328125,0.004638671875,1940,0.00022420588862175924,40,0.00022420588862175924,0,0.00022420588862175924,0.00022420588862175924,0.00022420588862175924,9:0.0026603659096727517;18:0.002745031084841032;7:0.013931684100380898,9:68;18:84;7:84,0.0103759765625,0.00439453125,Yes
9,149.9064162613925,202.88666220310975,0.004150390625,2.009266067084513e-05,0.0078125,0.00048828125,1940,0.0008894378855181227,40,0.0008894378855181227,0,0.0008894378855181227,0.0008894378855181227,0.0008894378855181227,8:0.0026603659096727517;19:0.0023517493049182436,8:68;19:68,0.004150390625,0.0029296875,Yes
