Qubit,T1 (us),T2 (us),Readout assignment error,Init error,Prob meas0 prep1,Prob meas1 prep0,Readout length (ns),ID error,Single-qubit gate length (ns),RX error,Z-axis rotation (rz) error,√x (sx) error,Pauli-X error,XSLOW error,CZ error,Gate length (ns),MEASURE error,MEASURE_2 error,Operational
0,198.09776869625452,72.00295322626172,0.0042724609375,1.660472924946167e-05,0.0078125,0.000732421875,1940,0.0002693249191900111,40,0.0002693249191900111,0,0.0002693249191900111,0.0002693249191900111,0.0002693249191900111,1:0.0023114815995627647;10:0.002442998182270284,1:68;10:68,0.0042724609375,0.004150390625,Yes
1,178.09630565424163,133.7456537175992,0.017578125,1e-05,0.030517578125,0.004638671875,1940,0.0009382192743200062,40,0.0009382192743200062,0,0.0009382192743200062,0.0009382192743200062,0.0009382192743200062,2:0.001380750120037133;11:0.0035714058003907534;0:0.0023114815995627647,2:68;11:68;0:68,0.017578125,0.0029296875,Yes
2,147.58465158552843,52.897665363184906,0.0159912109375,9.199775623791025e-05,0.025634765625,0.00634765625,1940,0.0003984105987549161,40,0.0003984105987549161,0,0.0003984105987549161,0.0003984105987549161,0.0003984105987549161,1:0.001380750120037133;3:0.002303456962034961;12:0.002185703939359046,1:68;3:68;12:68,0.0159912109375,0.025634765625,Yes
3,113.61638303206341,78.77300953298422,0.0037841796875,2.934480603131944e-05,0.006591796875,0.0009765625,1940,0.00032444630934916043,40,0.00032444630934916043,0,0.00032444630934916043,0.00032444630934916043,0.00032444630934916043,13:0.0023423288235803197;2:0.002303456962034961;4:0.0015920926925183654,13:108;2:68;4:68,0.0037841796875,0.008056640625,Yes
4,213.93582082354155,84.6826702580425,0.00439453125,3.647395895674677e-05,0.005859375,0.0029296875,1940,0.00021000339235495118,40,0.00021000339235495118,0,0.00021000339235495118,0.00021000339235495118,0.00021000339235495118,3:0.0015920926925183654;5:0.0015554402545296941;14:0.0017910549246507035,3:68;5:68;14:68,0.00439453125,0.01171875,Yes
5,165.18533949530928,127.64215169699375,0.0025634765625,1.0169167875795878e-05,0.01220703125,0.0009765625,1940,0.000323017708910108,40,0.000323017708910108,0,0.000323017708910108,0.000323017708910108,0.000323017708910108,6:0.0012508169531966207;4:0.0015554402545296941;15:0.001741834233584344,6:68;4:68;15:84,0.0025634765625,0.006591796875,Yes
6,200.8014196378879,90.07230753570178,0.0035400390625,3.067283104222749e-05,0.0048828125,0.002197265625,1940,0.00021160587879603455,40,0.00021160587879603455,0,0.00021160587879603455,0.00021160587879603455,0.00021160587879603455,5:0.0012508169531966207;7:0.0092808345475619;16:0.0019221317968514673,5:68;7:68;16:68,0.0035400390625,0.0078125,Yes
7,16.93307439769308,21.16387600124698,0.0201416015625,1e-05,0.0361328125,0.004150390625,1940,0.0012275825536676888,40,0.0012275825536676888,0,0.0012275825536676888,0.0012275825536676888,0.0012275825536676888,17:1;6:0.0092808345475619;8:0.015455985907310704,17:84;6:68;8:84,0.0201416015625,0.009521484375,Yes
8,251.91879412594292,194.88018136724128,0.00732421875,0.001818431773115066,0.00732421875,0.00732421875,1940,0.0001863920795732722,40,0.0001863920795732722,0,0.0001863920795732722,0.0001863920795732722,0.0001863920795732722,9:0.0014563254288703642;18:0.0027988820937545345;7:0.015455985907310704,9:68;18:84;7:84,0.00732421875,0.005859375,Yes
9,168.35028845662592,190.87039219510487,0.00537109375,1.0044438809295941e-05,0.010498046875,0.000244140625,1940,0.0001615598230797124,40,0.0001615598230797124,0,0.0001615598230797124,0.0001615598230797124,0.0001615598230797124,8:0.0014563254288703642;19:0.0013166927689194918,8:68;19:68,0.00537109375,0.002685546875,Yes
10,100.66058182896184,109.00282575593762,0.0084228515625,1e-05,0.011962890625,0.0048828125,1940,0.0003626188919398979,40,0.0003626188919398979,0,0.0003626188919398979,0.0003626188919398979,0.0003626188919398979,20:0.0040590132348825025;11:0.0028686852087501102;0:0.002442998182270284,20:68;11:68;0:68,0.0084228515625,0.006591796875,Yes
11,52.83763473570128,28.262485421224014,0.0157470703125,0.000345231699367855,0.0263671875,0.005126953125,1940,0.0010457953533864152,40,0.0010457953533864152,0,0.0010457953533864152,0.0010457953533864152,0.0010457953533864152,1:0.0035714058003907534;10:0.0028686852087501102;12:0.003283554845208203;21:0.002438927753834391,1:68;10:68;12:68;21:68,0.0157470703125,0.0146484375,Yes
12,69.9220743979754,58.47313279785016,0.00537109375,3.1633910057906645e-05,0.009521484375,0.001220703125,1940,0.0005069489976363844,40,0.0005069489976363844,0,0.0005069489976363844,0.0005069489976363844,0.0005069489976363844,13:0.0027405794786102278;22:0.0021500031657696594;2:0.002185703939359046;11:0.003283554845208203,13:68;22:68;2:68;11:68,0.00537109375,0.007080078125,Yes
13,75.85037245660494,38.377418352787075,0.0179443359375,3.297707347555678e-05,0.02294921875,0.012939453125,1940,0.0005026580697666556,40,0.0005026580697666556,0,0.0005026580697666556,0.0005026580697666556,0.0005026580697666556,3:0.0023423288235803197;12:0.0027405794786102278;14:0.002045239089814438;23:0.002204326846034388,3:108;12:68;14:68;23:68,0.0179443359375,0.009521484375,Yes
14,151.68307866968934,91.94078599663457,0.004638671875,4.71812581486241e-05,0.0087890625,0.00048828125,1940,0.0002121847582804189,40,0.0002121847582804189,0,0.0002121847582804189,0.0002121847582804189,0.0002121847582804189,15:0.002293460500682437;24:0.004099016163844504;13:0.002045239089814438;4:0.0017910549246507035,15:68;24:68;13:68;4:68,0.004638671875,0.006103515625,Yes
15,196.57516316157435,107.15261050005442,0.0135498046875,1.041064226780049e-05,0.022705078125,0.00439453125,1940,0.0003992402610370956,40,0.0003992402610370956,0,0.0003992402610370956,0.0003992402610370956,0.0003992402610370956,14:0.002293460500682437;16:0.007310888142121941;25:0.0013719589594102521;5:0.001741834233584344,14:68;16:68;25:68;5:84,0.0135498046875,0.01220703125,Yes
16,178.24720906304123,116.8567920195922,0.0091552734375,4.997376385538112e-05,0.01025390625,0.008056640625,1940,0.0003594087474970487,40,0.0003594087474970487,0,0.0003594087474970487,0.0003594087474970487,0.0003594087474970487,15:0.007310888142121941;17:1;26:0.0128388930245468;6:0.0019221317968514673,15:68;17:84;26:68;6:68,0.0091552734375,0.002685546875,Yes
17,,,0.498046875,,0.533203125,0.462890625,1940,1.0,40,1.0,0,1.0,1.0,1.0,7:1;16:1;18:1;27:1,7:84;16:84;18:84;27:84,0.498046875,0.48291015625,Yes
18,78.45004646185218,82.34955882074449,0.0089111328125,3.015099309442792e-05,0.016357421875,0.00146484375,1940,0.0005567122677577189,40,0.0005567122677577189,0,0.0005567122677577189,0.0005567122677577189,0.0005567122677577189,8:0.0027988820937545345;19:0.0024568874022223575;28:0.0023245793183715446;17:1,8:84;19:68;28:68;17:84,0.0089111328125,0.005126953125,Yes
19,195.24877654934843,126.4063045808258,0.006591796875,3.7569337003504854e-05,0.00927734375,0.00390625,1940,0.00012665380461740686,40,0.00012665380461740686,0,0.00012665380461740686,0.00012665380461740686,0.00012665380461740686,18:0.0024568874022223575;9:0.0013166927689194918;29:0.0016985780016071927,18:68;9:68;29:68,0.006591796875,0.00634765625,Yes
20,215.4015246751263,131.06836958397295,0.0052490234375,2.357491783690083e-05,0.008056640625,0.00244140625,1940,0.0001815819748382756,40,0.0001815819748382756,0,0.0001815819748382756,0.0001815819748382756,0.0001815819748382756,10:0.0040590132348825025;21:0.0022281822838093046;30:0.0019250512370942718,10:68;21:68;30:68,0.0052490234375,0.007080078125,Yes
21,192.68382545679276,176.77774960332113,0.004150390625,1e-05,0.007568359375,0.000732421875,1940,0.00024848530504353514,40,0.00024848530504353514,0,0.00024848530504353514,0.00024848530504353514,0.00024848530504353514,20:0.0022281822838093046;22:0.001091169994699187;31:0.001157440772395435;11:0.002438927753834391,20:68;22:68;31:68;11:68,0.004150390625,0.00341796875,Yes
22,241.45867009565347,24.87916467291298,0.0123291015625,0.00010471135330889637,0.0283203125,0.005615234375,1940,0.00027024249903390623,40,0.00027024249903390623,0,0.00027024249903390623,0.00027024249903390623,0.00027024249903390623,23:0.0037208589333479203;12:0.0021500031657696594;32:0.0013860414556851886;21:0.001091169994699187,23:68;12:68;32:68;21:68,0.0123291015625,0.0068359375,Yes
23,66.25813433595457,84.25500123673,0.0072021484375,1e-05,0.013916015625,0.00048828125,1940,0.0004283613836522251,40,0.0004283613836522251,0,0.0004283613836522251,0.0004283613836522251,0.0004283613836522251,22:0.0037208589333479203;13:0.002204326846034388;24:0.0026205776078845333;33:0.0016437383562733776,22:68;13:68;24:68;33:68,0.0072021484375,0.006591796875,Yes
24,151.37476187149193,128.93615760393803,0.0220947265625,,0.033447265625,0.0107421875,1940,0.0011458289102424662,40,0.0011458289102424662,0,0.0011458289102424662,0.0011458289102424662,0.0011458289102424662,14:0.004099016163844504;23:0.0026205776078845333;25:0.0046734249457626165;34:0.0023309953191302246,14:68;23:68;25:68;34:68,0.0220947265625,0.053955078125,Yes
